abstract,category
"  Pattern recognition is a central topic in Learning Theory with numerous
applications such as voice and text recognition, image analysis, computer
diagnosis. The statistical set-up in classification is the following: we are
given an i.i.d. training set $(X_{1},Y_{1}),... (X_{n},Y_{n})$ where $X_{i}$
represents a feature and $Y_{i}\in \{0,1\}$ is a label attached to that
feature. The underlying joint distribution of $(X,Y)$ is unknown, but we can
learn about it from the training set and we aim at devising low error
classifiers $f:X\to Y$ used to predict the label of new incoming features.
  Here we solve a quantum analogue of this problem, namely the classification
of two arbitrary unknown qubit states. Given a number of `training' copies from
each of the states, we would like to `learn' about them by performing a
measurement on the training set. The outcome is then used to design mesurements
for the classification of future systems with unknown labels. We find the
asymptotically optimal classification strategy and show that typically, it
performs strictly better than a plug-in strategy based on state estimation.
  The figure of merit is the excess risk which is the difference between the
probability of error and the probability of error of the optimal measurement
when the states are known, that is the Helstrom measurement. We show that the
excess risk has rate $n^{-1}$ and compute the exact constant of the rate.
",ML
"  We develop Bayesian inference methods for a recently-emerging type of
epigenetic data to study the transmission fidelity of DNA methylation patterns
over cell divisions. The data consist of parent-daughter double-stranded DNA
methylation patterns with each pattern coming from a single cell and
represented as an unordered pair of binary strings. The data are technically
difficult and time-consuming to collect, putting a premium on an efficient
inference method. Our aim is to estimate rates for the maintenance and de novo
methylation events that gave rise to the observed patterns, while accounting
for measurement error. We model data at multiple sites jointly, thus using
whole-strand information, and considerably reduce confounding between
parameters. We also adopt a hierarchical structure that allows for variation in
rates across sites without an explosion in the effective number of parameters.
Our context-specific priors capture the expected stationarity, or
near-stationarity, of the stochastic process that generated the data analyzed
here. This expected stationarity is shown to greatly increase the precision of
the estimation. Applying our model to a data set collected at the human FMR1
locus, we find that measurement errors, generally ignored in similar studies,
occur at a nontrivial rate (inappropriate bisulfite conversion error: 1.6$%$
with 80$%$ CI: 0.9--2.3$%$). Accounting for these errors has a substantial
impact on estimates of key biological parameters. The estimated average failure
of maintenance rate and daughter de novo rate decline from 0.04 to 0.024 and
from 0.14 to 0.07, respectively, when errors are accounted for. Our results
also provide evidence that de novo events may occur on both parent and daughter
strands: the median parent and daughter de novo rates are 0.08 (80$%$ CI:
0.04--0.13) and 0.07 (80$%$ CI: 0.04--0.11), respectively.
",Applied
"  During the period 1962--1964, I had a tenure track Assistant Professorship in
Mathematics at Cornell University in Ithaca, New York, where I did research in
probability theory, especially on linear diffusion processes. Being somewhat
lonely there and not liking the cold winter weather, I decided around the
beginning of 1964 to try to get a job in the Mathematics Department at UCLA, in
the city in which I was born and raised. At that time, Leo Breiman was an
Associate Professor in that department. Presumably, he liked my research on
linear diffusion processes and other research as well, since the department
offered me a tenure track Assistant Professorship, which I happily accepted.
During the Summer of 1965, I worked on various projects with Sidney Port, then
at RAND Corporation, especially on random walks and related material. I was
promoted to Associate Professor, effective in Fall, 1966, presumably thanks in
part to Leo. Early in 1966, I~was surprised to be asked by Leo to participate
in a department meeting called to discuss the possible hiring of Sidney. The
conclusion was that Sidney was hired as Associate Professor in the department,
as of Fall, 1966. Leo communicated to me his view that he thought that Sidney
and I worked well together, which is why he had urged the department to hire
Sidney. Anyhow, Sidney and I had a very fruitful and enjoyable collaboration in
probability and, to a much lesser extent, in theoretical statistics, for a
number of years thereafter.
",Applied
"  It is natural to ask: what kinds of matrices satisfy the Restricted
Eigenvalue (RE) condition? In this paper, we associate the RE condition
(Bickel-Ritov-Tsybakov 09) with the complexity of a subset of the sphere in
$\R^p$, where $p$ is the dimensionality of the data, and show that a class of
random matrices with independent rows, but not necessarily independent columns,
satisfy the RE condition, when the sample size is above a certain lower bound.
Here we explicitly introduce an additional covariance structure to the class of
random matrices that we have known by now that satisfy the Restricted Isometry
Property as defined in Candes and Tao 05 (and hence the RE condition), in order
to compose a broader class of random matrices for which the RE condition holds.
In this case, tools from geometric functional analysis in characterizing the
intrinsic low-dimensional structures associated with the RE condition has been
crucial in analyzing the sample complexity and understanding its statistical
implications for high dimensional data.
",ML
"  The usual nonparametric approach to spectral analysis is revisited within the
regularization framework. Both usual and windowed periodograms are obtained as
the squared modulus of the minimizer of regularized least squares criteria.
Then, particular attention is paid to their interpretation within the Bayesian
statistical framework. Finally, the question of unsupervised hyperparameter and
window selection is addressed. It is shown that maximum likelihood solution is
both formally achievable and practically useful.
",Applied
"  We present an objective function for learning with unlabeled data that
utilizes auxiliary expectation constraints. We optimize this objective function
using a procedure that alternates between information and moment projections.
Our method provides an alternate interpretation of the posterior regularization
framework (Graca et al., 2008), maintains uncertainty during optimization
unlike constraint-driven learning (Chang et al., 2007), and is more efficient
than generalized expectation criteria (Mann & McCallum, 2008). Applications of
this framework include minimally supervised learning, semisupervised learning,
and learning with constraints that are more expressive than the underlying
model. In experiments, we demonstrate comparable accuracy to generalized
expectation criteria for minimally supervised learning, and use expressive
structural constraints to guide semi-supervised learning, providing a 3%-6%
improvement over stateof-the-art constraint-driven learning.
",ML
"  In real-world classification problems, the class balance in the training
dataset does not necessarily reflect that of the test dataset, which can cause
significant estimation bias. If the class ratio of the test dataset is known,
instance re-weighting or resampling allows systematical bias correction.
However, learning the class ratio of the test dataset is challenging when no
labeled data is available from the test domain. In this paper, we propose to
estimate the class ratio in the test dataset by matching probability
distributions of training and test input data. We demonstrate the utility of
the proposed approach through experiments.
",ML
"  US Presidential Election 2012 has been a very tight race between the two key
candidates. There were intense battle between the two key candidates. The
election reflects the sentiment of the electorate towards the achievements of
the incumbent President Obama. The campaign lasted several months and the
effects can be felt in the internet and twitter. The presidential debates
injected new vigor in the challenger's campaign and successfully captured the
electorate of several states posing a threat to the incumbent's position. Much
of the sentiment in the election has been captured in the online discussions.
In this paper, we will be using the original model described in Choy et. al.
(2011) using twitter data to forecast the next US president.
",Applied
"  This paper examines from an experimental perspective random forests, the
increasingly used statistical method for classification and regression problems
introduced by Leo Breiman in 2001. It first aims at confirming, known but
sparse, advice for using random forests and at proposing some complementary
remarks for both standard problems as well as high dimensional ones for which
the number of variables hugely exceeds the sample size. But the main
contribution of this paper is twofold: to provide some insights about the
behavior of the variable importance index based on random forests and in
addition, to propose to investigate two classical issues of variable selection.
The first one is to find important variables for interpretation and the second
one is more restrictive and try to design a good prediction model. The strategy
involves a ranking of explanatory variables using the random forests score of
importance and a stepwise ascending variable introduction strategy.
",ML
"  The CUR decomposition provides an approximation of a matrix $X$ that has low
reconstruction error and that is sparse in the sense that the resulting
approximation lies in the span of only a few columns of $X$. In this regard, it
appears to be similar to many sparse PCA methods. However, CUR takes a
randomized algorithmic approach, whereas most sparse PCA methods are framed as
convex optimization problems. In this paper, we try to understand CUR from a
sparse optimization viewpoint. We show that CUR is implicitly optimizing a
sparse regression objective and, furthermore, cannot be directly cast as a
sparse PCA method. We also observe that the sparsity attained by CUR possesses
an interesting structure, which leads us to formulate a sparse PCA method that
achieves a CUR-like sparsity.
",Applied
"  To identify novel dynamic patterns of gene expression, we develop a
statistical method to cluster noisy measurements of gene expression collected
from multiple replicates at multiple time points, with an unknown number of
clusters. We propose a random-effects mixture model coupled with a
Dirichlet-process prior for clustering. The mixture model formulation allows
for probabilistic cluster assignments. The random-effects formulation allows
for attributing the total variability in the data to the sources that are
consistent with the experimental design, particularly when the noise level is
high and the temporal dependence is not strong. The Dirichlet-process prior
induces a prior distribution on partitions and helps to estimate the number of
clusters (or mixture components) from the data. We further tackle two
challenges associated with Dirichlet-process prior-based methods. One is
efficient sampling. We develop a novel Metropolis-Hastings Markov Chain Monte
Carlo (MCMC) procedure to sample the partitions. The other is efficient use of
the MCMC samples in forming clusters. We propose a two-step procedure for
posterior inference, which involves resampling and relabeling, to estimate the
posterior allocation probability matrix. This matrix can be directly used in
cluster assignments, while describing the uncertainty in clustering. We
demonstrate the effectiveness of our model and sampling procedure through
simulated data. Applying our method to a real data set collected from
Drosophila adult muscle cells after five-minute Notch activation, we identify
14 clusters of different transcriptional responses among 163 differentially
expressed genes, which provides novel insights into underlying transcriptional
mechanisms in the Notch signaling pathway. The algorithm developed here is
implemented in the R package DIRECT, available on CRAN.
",Applied
"  Forecasting technological progress is of great interest to engineers, policy
makers, and private investors. Several models have been proposed for predicting
technological improvement, but how well do these models perform? An early
hypothesis made by Theodore Wright in 1936 is that cost decreases as a power
law of cumulative production. An alternative hypothesis is Moore's law, which
can be generalized to say that technologies improve exponentially with time.
Other alternatives were proposed by Goddard, Sinclair et al., and Nordhaus.
These hypotheses have not previously been rigorously tested. Using a new
database on the cost and production of 62 different technologies, which is the
most expansive of its kind, we test the ability of six different postulated
laws to predict future costs. Our approach involves hindcasting and developing
a statistical model to rank the performance of the postulated laws. Wright's
law produces the best forecasts, but Moore's law is not far behind. We discover
a previously unobserved regularity that production tends to increase
exponentially. A combination of an exponential decrease in cost and an
exponential increase in production would make Moore's law and Wright's law
indistinguishable, as originally pointed out by Sahal. We show for the first
time that these regularities are observed in data to such a degree that the
performance of these two laws is nearly tied. Our results show that
technological progress is forecastable, with the square root of the logarithmic
error growing linearly with the forecasting horizon at a typical rate of 2.5%
per year. These results have implications for theories of technological change,
and assessments of candidate technologies and policies for climate change
mitigation.
",Applied
"  Heavy-tailed distributions are frequently used to enhance the robustness of
regression and classification methods to outliers in output space. Often,
however, we are confronted with ""outliers"" in input space, which are isolated
observations in sparsely populated regions. We show that heavy-tailed
stochastic processes (which we construct from Gaussian processes via a copula),
can be used to improve robustness of regression and classification estimators
to such outliers by selectively shrinking them more strongly in sparse regions
than in dense regions. We carry out a theoretical analysis to show that
selective shrinkage occurs, provided the marginals of the heavy-tailed process
have sufficiently heavy tails. The analysis is complemented by experiments on
biological data which indicate significant improvements of estimates in sparse
regions while producing competitive results in dense regions.
",Applied
"  In this work we show that randomized (block) coordinate descent methods can
be accelerated by parallelization when applied to the problem of minimizing the
sum of a partially separable smooth convex function and a simple separable
convex function. The theoretical speedup, as compared to the serial method, and
referring to the number of iterations needed to approximately solve the problem
with high probability, is a simple expression depending on the number of
parallel processors and a natural and easily computable measure of separability
of the smooth component of the objective function. In the worst case, when no
degree of separability is present, there may be no speedup; in the best case,
when the problem is separable, the speedup is equal to the number of
processors. Our analysis also works in the mode when the number of blocks being
updated at each iteration is random, which allows for modeling situations with
busy or unreliable processors. We show that our algorithm is able to solve a
LASSO problem involving a matrix with 20 billion nonzeros in 2 hours on a large
memory node with 24 cores.
",ML
"  Many tasks require finding groups of elements in a matrix of numbers, symbols
or class likelihoods. One approach is to use efficient bi- or tri-linear
factorization techniques including PCA, ICA, sparse matrix factorization and
plaid analysis. These techniques are not appropriate when addition and
multiplication of matrix elements are not sensibly defined. More directly,
methods like bi-clustering can be used to classify matrix elements, but these
methods make the overly-restrictive assumption that the class of each element
is a function of a row class and a column class. We introduce a general
computational problem, `matrix tile analysis' (MTA), which consists of
decomposing a matrix into a set of non-overlapping tiles, each of which is
defined by a subset of usually nonadjacent rows and columns. MTA does not
require an algebra for combining tiles, but must search over discrete
combinations of tile assignments. Exact MTA is a computationally intractable
integer programming problem, but we describe an approximate iterative technique
and a computationally efficient sum-product relaxation of the integer program.
We compare the effectiveness of these methods to PCA and plaid on hundreds of
randomly generated tasks. Using double-gene-knockout data, we show that MTA
finds groups of interacting yeast genes that have biologically-related
functions.
",ML
"  Joint sparsity offers powerful structural cues for feature selection,
especially for variables that are expected to demonstrate a ""grouped"" behavior.
Such behavior is commonly modeled via group-lasso, multitask lasso, and related
methods where feature selection is effected via mixed-norms. Several mixed-norm
based sparse models have received substantial attention, and for some cases
efficient algorithms are also available. Surprisingly, several constrained
sparse models seem to be lacking scalable algorithms. We address this
deficiency by presenting batch and online (stochastic-gradient) optimization
methods, both of which rely on efficient projections onto mixed-norm balls. We
illustrate our methods by applying them to the multitask lasso. We conclude by
mentioning some open problems.
",ML
"  Models defined by stochastic differential equations (SDEs) allow for the
representation of random variability in dynamical systems. The relevance of
this class of models is growing in many applied research areas and is already a
standard tool to model e.g. financial, neuronal and population growth dynamics.
However inference for multidimensional SDE models is still very challenging,
both computationally and theoretically. Approximate Bayesian computation (ABC)
allow to perform Bayesian inference for models which are sufficiently complex
that the likelihood function is either analytically unavailable or
computationally prohibitive to evaluate. A computationally efficient ABC-MCMC
algorithm is proposed, halving the running time in our simulations. Focus is on
the case where the SDE describes latent dynamics in state-space models; however
the methodology is not limited to the state-space framework. Simulation studies
for a pharmacokinetics/pharmacodynamics model and for stochastic chemical
reactions are considered and a MATLAB package implementing our ABC-MCMC
algorithm is provided.
",Applied
"  The Minimum Description Length (MDL) principle selects the model that has the
shortest code for data plus model. We show that for a countable class of
models, MDL predictions are close to the true distribution in a strong sense.
The result is completely general. No independence, ergodicity, stationarity,
identifiability, or other assumption on the model class need to be made. More
formally, we show that for any countable class of models, the distributions
selected by MDL (or MAP) asymptotically predict (merge with) the true measure
in the class in total variation distance. Implications for non-i.i.d. domains
like time-series forecasting, discriminative learning, and reinforcement
learning are discussed.
",ML
"  The use of Reinforcement Learning in real-world scenarios is strongly limited
by issues of scale. Most RL learning algorithms are unable to deal with
problems composed of hundreds or sometimes even dozens of possible actions, and
therefore cannot be applied to many real-world problems. We consider the RL
problem in the supervised classification framework where the optimal policy is
obtained through a multiclass classifier, the set of classes being the set of
actions of the problem. We introduce error-correcting output codes (ECOCs) in
this setting and propose two new methods for reducing complexity when using
rollouts-based approaches. The first method consists in using an ECOC-based
classifier as the multiclass classifier, reducing the learning complexity from
O(A2) to O(Alog(A)). We then propose a novel method that profits from the
ECOC's coding dictionary to split the initial MDP into O(log(A)) seperate
two-action MDPs. This second method reduces learning complexity even further,
from O(A2) to O(log(A)), thus rendering problems with large action sets
tractable. We finish by experimentally demonstrating the advantages of our
approach on a set of benchmark problems, both in speed and performance.
",ML
"  The paper introduces a penalized matrix estimation procedure aiming at
solutions which are sparse and low-rank at the same time. Such structures arise
in the context of social networks or protein interactions where underlying
graphs have adjacency matrices which are block-diagonal in the appropriate
basis. We introduce a convex mixed penalty which involves $\ell_1$-norm and
trace norm simultaneously. We obtain an oracle inequality which indicates how
the two effects interact according to the nature of the target matrix. We bound
generalization error in the link prediction problem. We also develop proximal
descent strategies to solve the optimization problem efficiently and evaluate
performance on synthetic and real data sets.
",ML
"  Cross-validation (CV) is widely used for tuning a model with respect to
user-selected parameters and for selecting a ""best"" model. For example, the
method of $k$-nearest neighbors requires the user to choose $k$, the number of
neighbors, and a neural network has several tuning parameters controlling the
network complexity. Once such parameters are optimized for a particular data
set, the next step is often to compare the various optimized models and choose
the method with the best predictive performance. Both tuning and model
selection boil down to comparing models, either across different values of the
tuning parameters or across different classes of statistical models and/or sets
of explanatory variables. For multiple large sets of data, like the PubChem
drug discovery cheminformatics data which motivated this work, reliable CV
comparisons are computationally demanding, or even infeasible. In this paper we
develop an efficient sequential methodology for model comparison based on CV.
It also takes into account the randomness in CV. The number of models is
reduced via an adaptive, multiplicity-adjusted sequential algorithm, where poor
performers are quickly eliminated. By exploiting matching of individual
observations, it is sometimes even possible to establish the statistically
significant inferiority of some models with just one execution of CV.
",Applied
"  We analyze the results of the German Team Handball Bundesliga for ten seasons
in a model-free statistical time series approach. We will show that the home
advantage is nearly negligible compared to the total sum of goals. Specific
interest has been spent on the time evolution of the team fitness expressed in
terms of the goal difference. In contrast to soccer, our results indicate a
decay of the team fitness values over a season while the long time correlation
behavior over years is nearly comparable. We are able to explain the dominance
of a few teams by the large value for the total number of goals in a match. A
method for the prediction of match winners is presented in good accuracy with
the real results. We analyze the properties of promoted teams and indicate
drastic level changes between the Bundesliga and the second league. Our
findings reflect in good agreement recent discussions on modern successful
attack strategies.
",Applied
"  In this paper we consider sparse and identifiable linear latent variable
(factor) and linear Bayesian network models for parsimonious analysis of
multivariate data. We propose a computationally efficient method for joint
parameter and model inference, and model comparison. It consists of a fully
Bayesian hierarchy for sparse models using slab and spike priors (two-component
delta-function and continuous mixtures), non-Gaussian latent factors and a
stochastic search over the ordering of the variables. The framework, which we
call SLIM (Sparse Linear Identifiable Multivariate modeling), is validated and
bench-marked on artificial and real biological data sets. SLIM is closest in
spirit to LiNGAM (Shimizu et al., 2006), but differs substantially in
inference, Bayesian network structure learning and model comparison.
Experimentally, SLIM performs equally well or better than LiNGAM with
comparable computational complexity. We attribute this mainly to the stochastic
search strategy used, and to parsimony (sparsity and identifiability), which is
an explicit part of the model. We propose two extensions to the basic i.i.d.
linear framework: non-linear dependence on observed variables, called SNIM
(Sparse Non-linear Identifiable Multivariate modeling) and allowing for
correlations between latent variables, called CSLIM (Correlated SLIM), for the
temporal and/or spatial data. The source code and scripts are available from
http://cogsys.imm.dtu.dk/slim/.
",ML
